
**********************************************
Real-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 8.800000e+01 * a0, G = 1.580905e+04, G * par = 3.161810e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.101000e+02 * a0, GD = 4.721954e+03, GD * par =  9.443909e+03, edd = 1.251136e+00
     Dipolar cutoffs Rcut = 1.046777e+01, Lcut = 2.887877e+02

QF = 1, QDEPL = 0: h2 = 1.989378e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 3.514595e+00

GRAD = 0

Trap parameters
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 4.512308e+00, DY = 1.635589e-01, DZ = 1.635589e-01
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 2500 (NSNAP = 1250)
                     DT = 1.337576e-02

Initial state: file ./imag3d-finalpsi.bin
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-12, MUEND=1.000000e+05

-------------------------------------------------------------------
Snap      Na             QD             mu             <r>
229       1.50620303035e+05   0.000000e+00   -5.295991e-01  2.891596e+01  
230       1.50620306362e+05   0.000000e+00   -5.295895e-01  2.891599e+01  
231       1.50620309255e+05   0.000000e+00   -5.295790e-01  2.891602e+01  
232       1.50620311686e+05   0.000000e+00   -5.295684e-01  2.891604e+01  
233       1.50620313621e+05   0.000000e+00   -5.295582e-01  2.891607e+01  
234       1.50620315029e+05   0.000000e+00   -5.295489e-01  2.891609e+01  
235       1.50620315879e+05   0.000000e+00   -5.295406e-01  2.891612e+01  
236       1.50620316148e+05   0.000000e+00   -5.295332e-01  2.891614e+01  
237       1.50620315819e+05   0.000000e+00   -5.295259e-01  2.891616e+01  
238       1.50620314877e+05   0.000000e+00   -5.295183e-01  2.891619e+01  
239       1.50620313312e+05   0.000000e+00   -5.295094e-01  2.891621e+01  
240       1.50620311113e+05   0.000000e+00   -5.294991e-01  2.891623e+01  
241       1.50620308267e+05   0.000000e+00   -5.294870e-01  2.891625e+01  
242       1.50620304756e+05   0.000000e+00   -5.294733e-01  2.891627e+01  
243       1.50620300564e+05   0.000000e+00   -5.294586e-01  2.891629e+01  
244       1.50620295670e+05   0.000000e+00   -5.294434e-01  2.891631e+01  
245       1.50620290056e+05   0.000000e+00   -5.294284e-01  2.891633e+01  
246       1.50620283705e+05   0.000000e+00   -5.294141e-01  2.891635e+01  
247       1.50620276608e+05   0.000000e+00   -5.294008e-01  2.891637e+01  
248       1.50620268755e+05   0.000000e+00   -5.293885e-01  2.891639e+01  
249       1.50620260147e+05   0.000000e+00   -5.293768e-01  2.891641e+01  
250       1.50620250781e+05   0.000000e+00   -5.293656e-01  2.891643e+01  
251       1.50620240659e+05   0.000000e+00   -5.293545e-01  2.891645e+01  
252       1.50620229784e+05   0.000000e+00   -5.293432e-01  2.891646e+01  
253       1.50620218169e+05   0.000000e+00   -5.293315e-01  2.891648e+01  
254       1.50620205825e+05   0.000000e+00   -5.293193e-01  2.891649e+01  
255       1.50620192755e+05   0.000000e+00   -5.293065e-01  2.891651e+01  
256       1.50620178956e+05   0.000000e+00   -5.292930e-01  2.891653e+01  
257       1.50620164436e+05   0.000000e+00   -5.292784e-01  2.891654e+01  
258       1.50620149221e+05   0.000000e+00   -5.292624e-01  2.891655e+01  
259       1.50620133338e+05   0.000000e+00   -5.292446e-01  2.891657e+01  
260       1.50620116793e+05   0.000000e+00   -5.292253e-01  2.891658e+01  
261       1.50620099583e+05   0.000000e+00   -5.292048e-01  2.891660e+01  
262       1.50620081722e+05   0.000000e+00   -5.291845e-01  2.891661e+01  
263       1.50620063248e+05   0.000000e+00   -5.291657e-01  2.891662e+01  
