
**********************************************
Real-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 7.500000e+01 * a0, G = 1.347362e+04, G * par = 2.694724e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.101000e+02 * a0, GD = 4.721954e+03, GD * par =  9.443909e+03, edd = 1.468000e+00
     Dipolar cutoffs Rcut = 5.847901e+00, Lcut = 1.936235e+02

QF = 1, QDEPL = 0: h2 = 1.696559e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 4.469722e+00

GRAD = 0

Trap parameters
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 3.025367e+00, DY = 9.137345e-02, DZ = 9.137345e-02
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 5000 (NSNAP = 2000)
                     DT = 4.174554e-03

Initial state: file ./imag3d-finalpsi.bin
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-12, MUEND=1.000000e+05

-------------------------------------------------------------------
Snap      Na             QD             mu             <r>
234       1.50500502236e+05   0.000000e+00   -6.966316e-01  1.940896e+01  
235       1.50100007571e+05   0.000000e+00   -5.942625e-01  1.943063e+01  
236       1.50558671923e+05   0.000000e+00   -6.141093e-01  1.940913e+01  
237       1.50126606622e+05   0.000000e+00   -5.064138e-01  1.943274e+01  
238       1.50622719450e+05   0.000000e+00   -5.120712e-01  1.940972e+01  
239       1.50167080882e+05   0.000000e+00   -4.013575e-01  1.943488e+01  
240       1.50695507790e+05   0.000000e+00   -3.944631e-01  1.941063e+01  
241       1.50227695991e+05   0.000000e+00   -2.882521e-01  1.943678e+01  
242       1.50780984356e+05   0.000000e+00   -2.714391e-01  1.941162e+01  
243       1.50302333499e+05   0.000000e+00   -1.607272e-01  1.943856e+01  
244       1.50851349705e+05   0.000000e+00   -9.648486e-02  1.941373e+01  
245       1.50357500465e+05   0.000000e+00   6.860830e-02   1.944149e+01  
246       1.50934717761e+05   0.000000e+00   1.846522e-01   1.941550e+01  
247       1.50476014212e+05   0.000000e+00   3.656779e-01   1.944172e+01  
248       1.51012061926e+05   0.000000e+00   5.003774e-01   1.941776e+01  
249       1.50476275089e+05   0.000000e+00   7.235990e-01   1.944749e+01  
250       1.50985308537e+05   0.000000e+00   9.248670e-01   1.942497e+01  
